ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Transport_Score,Amenities_Count,Accessibility_Score,Size_Category
119761,Madhya Pradesh,Indore,Locality_50,Apartment,5,676,477.68,70662.72189349112,2016,Semi-furnished,10,12,9,6,4,High,No,Yes,"Gym, Garden, Playground, Clubhouse",East,Owner,Ready_to_Move,3,4,13,Small
205368,West Bengal,Durgapur,Locality_189,Villa,1,942,411.16,43647.55838641189,2004,Furnished,28,13,21,9,6,Low,No,No,"Pool, Playground, Gym",East,Builder,Ready_to_Move,1,3,16,Medium
48194,Uttar Pradesh,Noida,Locality_301,Villa,2,2720,19.71,724.6323529411765,1996,Semi-furnished,3,2,29,2,6,High,No,Yes,"Gym, Playground, Garden",South,Builder,Ready_to_Move,3,3,11,Large
105539,Haryana,Faridabad,Locality_411,Independent House,1,939,416.74,44381.25665601704,2017,Unfurnished,28,1,8,10,5,Medium,No,No,"Clubhouse, Garden, Gym",North,Broker,Under_Construction,2,3,17,Medium
90754,Karnataka,Mysore,Locality_275,Villa,1,533,57.01,10696.060037523452,1996,Semi-furnished,8,12,29,6,6,Low,No,Yes,"Playground, Clubhouse, Garden, Gym",North,Owner,Ready_to_Move,1,4,13,Small
29083,Maharashtra,Mumbai,Locality_294,Apartment,3,3984,429.08,10770.08032128514,1996,Semi-furnished,16,29,29,3,5,Low,No,Yes,"Playground, Gym, Garden",South,Broker,Under_Construction,1,3,9,Large
59706,Assam,Guwahati,Locality_407,Apartment,2,1656,262.42,15846.618357487923,2005,Semi-furnished,26,13,20,7,6,Medium,No,Yes,Garden,North,Owner,Ready_to_Move,2,1,15,Large
136586,Bihar,Patna,Locality_486,Apartment,2,946,272.55,28810.7822410148,2008,Furnished,1,16,17,7,9,Low,Yes,Yes,"Pool, Gym, Clubhouse, Garden",South,Owner,Under_Construction,1,4,17,Medium
118083,Uttarakhand,Dehradun,Locality_295,Independent House,2,1545,261.41,16919.741100323627,2006,Semi-furnished,30,16,19,10,4,Low,No,No,"Playground, Gym, Garden, Clubhouse, Pool",South,Owner,Ready_to_Move,1,5,15,Large
15393,Kerala,Kochi,Locality_232,Independent House,2,1308,111.95,8558.868501529052,1992,Furnished,28,3,33,6,6,Low,Yes,No,"Gym, Pool, Clubhouse, Playground",East,Owner,Ready_to_Move,1,4,13,Medium
157693,Karnataka,Bangalore,Locality_77,Independent House,5,3969,79.38,2000.0,2005,Semi-furnished,18,6,20,2,10,Medium,Yes,Yes,"Pool, Clubhouse, Playground, Garden",West,Builder,Under_Construction,2,4,14,Large
222514,Jharkhand,Ranchi,Locality_384,Independent House,4,4128,186.84,4526.162790697675,1999,Furnished,10,24,26,5,2,Low,Yes,No,Gym,West,Builder,Ready_to_Move,1,1,8,Large
223860,West Bengal,Kolkata,Locality_324,Villa,3,3028,84.29,2783.685601056803,2020,Semi-furnished,11,8,5,4,8,Medium,Yes,Yes,"Pool, Clubhouse, Garden",East,Owner,Ready_to_Move,2,3,14,Large
211515,West Bengal,Kolkata,Locality_78,Villa,5,4259,177.25,4161.775064569148,2009,Unfurnished,20,20,16,3,5,High,Yes,No,"Gym, Garden",West,Builder,Under_Construction,3,2,11,Large
20614,Madhya Pradesh,Bhopal,Locality_289,Villa,4,4400,118.41,2691.1363636363635,2000,Unfurnished,30,8,25,3,4,Medium,Yes,Yes,"Clubhouse, Pool, Garden, Gym",South,Builder,Under_Construction,2,4,9,Large
212480,West Bengal,Durgapur,Locality_154,Apartment,4,2492,364.23,14615.97110754414,2019,Unfurnished,4,8,6,2,9,Medium,No,Yes,"Gym, Pool",North,Owner,Under_Construction,2,2,13,Large
167122,Chhattisgarh,Raipur,Locality_211,Independent House,1,3109,145.67,4685.429398520424,1996,Semi-furnished,9,29,29,6,8,Low,No,No,"Pool, Garden, Gym, Playground, Clubhouse",North,Broker,Under_Construction,1,5,15,Large
56238,Maharashtra,Pune,Locality_299,Independent House,4,2019,459.16,22741.951461119366,2006,Semi-furnished,14,3,19,8,3,Medium,No,No,Gym,East,Owner,Ready_to_Move,2,1,13,Large
165166,Jharkhand,Jamshedpur,Locality_240,Apartment,1,3413,163.89,4801.9337825959565,1994,Unfurnished,7,8,31,8,3,High,Yes,Yes,"Garden, Pool, Clubhouse",South,Builder,Under_Construction,3,3,14,Large
207877,Karnataka,Mysore,Locality_256,Independent House,1,4687,304.68,6500.533390228291,1996,Semi-furnished,24,28,29,1,9,Low,Yes,No,"Playground, Pool, Garden, Gym, Clubhouse",West,Builder,Ready_to_Move,1,5,11,Large
91698,Uttar Pradesh,Noida,Locality_27,Villa,1,1417,459.77,32446.718419195484,2013,Semi-furnished,22,23,12,7,10,High,No,No,"Gym, Garden, Pool, Playground, Clubhouse",North,Builder,Under_Construction,3,5,20,Medium
2173,Tamil Nadu,Coimbatore,Locality_439,Independent House,5,2167,92.44,4265.805260729118,2013,Semi-furnished,14,15,12,2,10,Low,Yes,No,"Playground, Clubhouse, Gym, Pool",South,Builder,Under_Construction,1,4,13,Large
101024,Madhya Pradesh,Indore,Locality_275,Independent House,3,4963,470.23,9474.71287527705,2020,Unfurnished,10,29,5,8,3,High,Yes,Yes,"Clubhouse, Garden, Pool",South,Builder,Ready_to_Move,3,3,14,Large
102609,Chhattisgarh,Raipur,Locality_499,Villa,4,3146,26.78,851.2396694214876,2011,Semi-furnished,10,18,14,6,3,High,Yes,Yes,"Playground, Pool, Clubhouse",West,Builder,Under_Construction,3,3,12,Large
243014,Uttar Pradesh,Noida,Locality_470,Villa,2,663,317.08,47825.03770739065,1999,Unfurnished,21,20,26,3,7,High,Yes,No,"Gym, Garden",East,Broker,Under_Construction,3,2,13,Small
197904,Madhya Pradesh,Bhopal,Locality_82,Villa,1,3415,52.51,1537.628111273792,1993,Semi-furnished,3,8,32,2,2,High,Yes,No,"Pool, Clubhouse",North,Builder,Under_Construction,3,2,7,Large
61016,Punjab,Ludhiana,Locality_356,Apartment,5,1405,394.32,28065.480427046263,2012,Furnished,29,20,13,1,10,Medium,No,No,"Garden, Playground",East,Broker,Under_Construction,2,2,13,Medium
28945,Delhi,New Delhi,Locality_328,Apartment,3,3708,320.57,8645.361380798275,2010,Furnished,26,30,15,7,9,Low,Yes,Yes,"Playground, Clubhouse",North,Broker,Ready_to_Move,1,2,17,Large
149888,Uttarakhand,Haridwar,Locality_61,Villa,2,2884,190.71,6612.690707350902,1990,Unfurnished,10,4,35,10,1,High,No,No,Clubhouse,East,Owner,Ready_to_Move,3,1,14,Large
91871,Tamil Nadu,Chennai,Locality_234,Apartment,3,3126,277.25,8869.161868202174,2015,Furnished,10,1,10,6,1,Low,Yes,No,"Playground, Gym, Garden, Clubhouse",West,Owner,Under_Construction,1,4,8,Large
14830,Madhya Pradesh,Bhopal,Locality_465,Apartment,1,718,192.47,26806.40668523677,2018,Furnished,1,26,7,6,5,High,No,Yes,"Pool, Gym, Playground, Garden, Clubhouse",West,Broker,Ready_to_Move,3,5,14,Small
126671,Bihar,Patna,Locality_305,Independent House,1,3535,246.54,6974.257425742574,1995,Furnished,29,23,30,2,4,High,No,Yes,"Clubhouse, Pool, Playground",North,Builder,Under_Construction,3,3,9,Large
69889,West Bengal,Durgapur,Locality_215,Villa,3,908,160.15,17637.665198237886,2003,Furnished,2,28,22,10,2,Low,No,No,"Clubhouse, Garden, Pool",South,Broker,Under_Construction,1,3,13,Medium
62776,Kerala,Kochi,Locality_252,Apartment,1,3486,253.4,7269.076305220883,1990,Furnished,15,1,35,10,8,Medium,Yes,No,"Gym, Garden, Playground",West,Broker,Ready_to_Move,2,3,20,Large
99892,Odisha,Cuttack,Locality_182,Independent House,3,779,44.88,5761.232349165597,2011,Semi-furnished,11,29,14,8,9,High,No,No,"Garden, Pool, Clubhouse, Playground",West,Owner,Under_Construction,3,4,20,Small
178417,Karnataka,Mysore,Locality_491,Villa,3,3009,393.0,13060.817547357929,2015,Unfurnished,0,7,10,3,10,Low,Yes,Yes,"Garden, Clubhouse",North,Owner,Ready_to_Move,1,2,14,Large
2194,Andhra Pradesh,Vijayawada,Locality_92,Apartment,5,1936,312.29,16130.68181818182,2011,Unfurnished,6,25,14,5,5,Low,Yes,No,"Gym, Playground, Garden",North,Broker,Under_Construction,1,3,11,Large
170136,Bihar,Gaya,Locality_280,Villa,1,3145,376.54,11972.655007949126,2015,Semi-furnished,17,30,10,10,3,Low,No,No,"Clubhouse, Garden, Gym, Pool",South,Owner,Ready_to_Move,1,4,14,Large
28908,Kerala,Kochi,Locality_209,Apartment,3,3990,327.44,8206.516290726817,2013,Unfurnished,19,29,12,1,1,Low,Yes,Yes,Garden,South,Owner,Under_Construction,1,1,3,Large
223441,Telangana,Warangal,Locality_496,Apartment,1,2726,285.07,10457.446808510638,1993,Furnished,17,15,32,6,1,High,No,No,"Gym, Garden, Clubhouse, Playground, Pool",North,Broker,Ready_to_Move,3,5,10,Large
123024,Kerala,Kochi,Locality_365,Villa,5,2785,207.96,7467.145421903052,2002,Furnished,25,28,23,10,2,Medium,Yes,Yes,"Gym, Pool, Playground",South,Builder,Ready_to_Move,2,3,14,Large
16619,Delhi,Dwarka,Locality_78,Villa,3,4714,235.11,4987.484089944845,2023,Semi-furnished,1,17,2,9,3,Low,No,Yes,"Clubhouse, Garden, Playground, Gym, Pool",South,Builder,Under_Construction,1,5,13,Large
150284,West Bengal,Durgapur,Locality_206,Apartment,5,705,365.05,51780.14184397163,1997,Unfurnished,29,6,28,1,1,Medium,Yes,Yes,"Playground, Pool, Gym, Garden, Clubhouse",North,Owner,Under_Construction,2,5,4,Small
42503,Rajasthan,Jaipur,Locality_423,Villa,5,3633,320.11,8811.175337186898,2023,Furnished,4,21,2,8,7,High,Yes,No,"Gym, Clubhouse, Pool, Playground, Garden",East,Owner,Under_Construction,3,5,18,Large
131213,Uttarakhand,Haridwar,Locality_377,Villa,1,4550,198.18,4355.604395604396,2020,Unfurnished,16,30,5,10,9,High,No,No,Playground,South,Broker,Under_Construction,3,1,22,Large
89306,Madhya Pradesh,Bhopal,Locality_430,Independent House,5,2972,61.85,2081.0901749663526,1995,Furnished,7,12,30,1,8,High,Yes,Yes,"Gym, Clubhouse, Garden, Playground",West,Builder,Under_Construction,3,4,12,Large
96562,Karnataka,Bangalore,Locality_118,Apartment,4,1060,457.87,43195.28301886792,2002,Unfurnished,8,11,23,4,3,Low,No,Yes,"Pool, Gym",South,Owner,Ready_to_Move,1,2,8,Medium
207482,Uttar Pradesh,Noida,Locality_55,Villa,4,4132,229.12,5545.014520813165,2022,Unfurnished,9,7,3,4,6,High,No,No,"Pool, Gym, Clubhouse",South,Owner,Ready_to_Move,3,3,13,Large
143743,Chhattisgarh,Bilaspur,Locality_336,Independent House,3,2109,401.01,19014.224751066857,2004,Unfurnished,14,3,21,10,10,High,No,No,"Pool, Gym, Garden",South,Builder,Under_Construction,3,3,23,Large
67425,Haryana,Faridabad,Locality_66,Independent House,2,2507,106.56,4250.498603909055,2002,Unfurnished,7,11,23,1,5,High,Yes,Yes,"Pool, Clubhouse, Playground",East,Broker,Ready_to_Move,3,3,9,Large
145821,Punjab,Ludhiana,Locality_169,Villa,5,3467,162.13,4676.37727141621,2016,Furnished,25,7,9,6,7,Low,No,No,"Clubhouse, Playground, Pool, Gym, Garden",South,Builder,Ready_to_Move,1,5,14,Large
238664,Haryana,Faridabad,Locality_466,Villa,3,784,380.24,48500.0,2020,Furnished,5,15,5,3,7,Medium,No,No,Playground,East,Broker,Ready_to_Move,2,1,12,Small
132900,Gujarat,Ahmedabad,Locality_324,Apartment,4,3702,186.91,5048.892490545651,2000,Furnished,18,17,25,1,8,High,No,No,"Gym, Clubhouse, Playground, Pool",East,Builder,Under_Construction,3,4,12,Large
54520,Maharashtra,Nagpur,Locality_231,Independent House,5,1041,390.1,37473.58309317964,2023,Furnished,13,15,2,8,1,Medium,Yes,No,Gym,South,Broker,Under_Construction,2,1,11,Medium
84069,Gujarat,Surat,Locality_209,Independent House,3,3901,463.42,11879.518072289156,2013,Unfurnished,18,5,12,8,2,Medium,No,Yes,"Clubhouse, Garden, Pool, Playground, Gym",West,Owner,Under_Construction,2,5,12,Large
120667,Haryana,Gurgaon,Locality_257,Villa,5,524,114.24,21801.52671755725,2003,Semi-furnished,13,29,22,9,2,Medium,No,No,"Playground, Pool, Garden",North,Owner,Ready_to_Move,2,3,13,Small
28858,Uttarakhand,Dehradun,Locality_290,Apartment,4,1793,96.21,5365.867261572783,2012,Unfurnished,23,12,13,8,10,Low,No,No,"Clubhouse, Gym, Playground",West,Owner,Under_Construction,1,3,19,Large
194974,Uttar Pradesh,Lucknow,Locality_13,Apartment,2,4069,191.79,4713.443106414353,2018,Unfurnished,16,9,7,7,4,Low,Yes,Yes,"Pool, Clubhouse",West,Builder,Ready_to_Move,1,2,12,Large
186096,Telangana,Warangal,Locality_97,Apartment,3,3069,284.95,9284.78331704138,2010,Semi-furnished,28,29,15,7,7,Medium,No,No,"Playground, Gym, Clubhouse",South,Owner,Under_Construction,2,3,16,Large
94571,Maharashtra,Pune,Locality_271,Villa,1,2185,251.15,11494.279176201371,2015,Unfurnished,27,12,10,1,5,High,Yes,No,"Playground, Gym, Garden",South,Owner,Under_Construction,3,3,9,Large
165726,Telangana,Hyderabad,Locality_449,Apartment,2,1256,205.33,16347.929936305733,1998,Furnished,13,21,27,1,1,Low,Yes,No,"Gym, Garden, Pool, Playground, Clubhouse",East,Broker,Ready_to_Move,1,5,3,Medium
204320,Haryana,Gurgaon,Locality_29,Apartment,1,2614,323.67,12382.172915072686,2006,Unfurnished,2,25,19,2,8,High,Yes,No,"Gym, Clubhouse",East,Broker,Under_Construction,3,2,13,Large
199767,Assam,Silchar,Locality_78,Villa,3,1562,121.17,7757.3623559539055,2008,Furnished,18,28,17,2,10,High,No,Yes,"Garden, Playground, Clubhouse, Pool",South,Builder,Under_Construction,3,4,15,Large
217736,Haryana,Faridabad,Locality_48,Villa,2,3246,315.0,9704.251386321626,1998,Furnished,9,12,27,9,8,Medium,No,No,"Clubhouse, Garden, Gym, Playground, Pool",South,Owner,Under_Construction,2,5,19,Large
238239,Rajasthan,Jodhpur,Locality_254,Apartment,5,1699,477.11,28081.812831077103,2015,Unfurnished,24,6,10,5,5,Low,Yes,No,Garden,East,Builder,Ready_to_Move,1,1,11,Large
122346,West Bengal,Durgapur,Locality_367,Independent House,4,3960,242.84,6132.323232323232,2002,Furnished,20,1,23,6,7,Low,No,No,"Pool, Playground, Gym, Garden",North,Broker,Ready_to_Move,1,4,14,Large
178166,Telangana,Hyderabad,Locality_424,Villa,1,4981,345.79,6942.180285083316,1997,Furnished,29,9,28,1,1,Low,No,Yes,"Pool, Playground",East,Owner,Ready_to_Move,1,2,3,Large
90444,Karnataka,Bangalore,Locality_403,Villa,5,1338,42.31,3162.1823617339314,2022,Semi-furnished,8,25,3,4,3,High,Yes,No,"Playground, Pool, Clubhouse",North,Owner,Ready_to_Move,3,3,10,Medium
2634,Odisha,Cuttack,Locality_355,Apartment,2,3773,476.13,12619.40100715611,1997,Furnished,8,15,28,9,7,Medium,Yes,Yes,"Pool, Playground, Gym, Garden, Clubhouse",West,Builder,Under_Construction,2,5,18,Large
158944,Bihar,Patna,Locality_176,Villa,3,3161,188.51,5963.619107877255,1998,Semi-furnished,30,4,27,3,2,Low,No,No,"Clubhouse, Garden, Pool, Playground",West,Owner,Ready_to_Move,1,4,6,Large
199664,Madhya Pradesh,Bhopal,Locality_428,Villa,1,1856,35.77,1927.262931034483,2021,Unfurnished,19,30,4,1,8,High,No,Yes,"Playground, Pool",West,Builder,Under_Construction,3,2,12,Large
197342,Delhi,Dwarka,Locality_219,Apartment,3,3486,92.14,2643.1440045897875,2019,Unfurnished,19,28,6,9,1,High,No,Yes,"Pool, Clubhouse, Gym, Garden",South,Broker,Under_Construction,3,4,13,Large
45405,Bihar,Gaya,Locality_423,Villa,5,4856,402.28,8284.184514003295,2023,Semi-furnished,17,13,2,4,8,Low,Yes,No,"Clubhouse, Pool, Gym, Playground",East,Builder,Ready_to_Move,1,4,13,Large
79991,Rajasthan,Jaipur,Locality_436,Villa,4,2139,308.04,14401.122019635346,2004,Furnished,1,14,21,3,8,Low,No,Yes,"Gym, Clubhouse, Pool, Garden, Playground",North,Owner,Under_Construction,1,5,12,Large
15055,Delhi,New Delhi,Locality_155,Independent House,3,4825,238.7,4947.150259067357,2016,Unfurnished,0,12,9,8,3,High,Yes,Yes,"Clubhouse, Gym, Playground, Pool",North,Broker,Ready_to_Move,3,4,14,Large
51336,Madhya Pradesh,Bhopal,Locality_266,Independent House,1,1208,188.5,15604.30463576159,1999,Unfurnished,28,18,26,1,1,Medium,Yes,Yes,"Gym, Playground, Garden, Pool",South,Owner,Ready_to_Move,2,4,4,Medium
24583,Bihar,Patna,Locality_311,Villa,2,2391,11.76,491.8444165621079,2022,Furnished,25,9,3,9,6,High,No,Yes,Gym,East,Broker,Under_Construction,3,1,18,Large
168284,Maharashtra,Mumbai,Locality_354,Apartment,5,652,16.46,2524.5398773006136,1990,Unfurnished,14,8,35,10,5,Medium,No,Yes,"Garden, Clubhouse, Gym, Playground",West,Owner,Ready_to_Move,2,4,17,Small
57306,Jharkhand,Ranchi,Locality_49,Villa,3,3507,435.34,12413.45879669233,2001,Furnished,19,15,24,7,1,Medium,Yes,Yes,Clubhouse,South,Broker,Ready_to_Move,2,1,10,Large
170045,Tamil Nadu,Coimbatore,Locality_94,Apartment,1,1753,487.12,27787.79235596121,2021,Unfurnished,12,30,4,7,2,High,No,Yes,"Clubhouse, Playground, Garden, Pool",West,Broker,Ready_to_Move,3,4,12,Large
146718,Delhi,New Delhi,Locality_226,Villa,3,4099,107.02,2610.8807026103927,1990,Semi-furnished,17,10,35,6,6,Low,Yes,No,"Pool, Playground, Clubhouse, Garden, Gym",East,Owner,Ready_to_Move,1,5,13,Large
158370,Kerala,Trivandrum,Locality_105,Independent House,4,1742,76.92,4415.614236509759,1998,Semi-furnished,11,11,27,8,10,Medium,Yes,No,"Clubhouse, Playground, Pool, Garden",South,Broker,Under_Construction,2,4,20,Large
134784,Maharashtra,Pune,Locality_100,Villa,3,2673,486.66,18206.509539842875,1997,Unfurnished,19,3,28,2,1,Low,Yes,Yes,"Garden, Gym, Playground",North,Broker,Under_Construction,1,3,4,Large
64872,Telangana,Hyderabad,Locality_401,Independent House,2,1298,28.26,2177.195685670262,2012,Unfurnished,25,29,13,6,3,High,No,No,Garden,North,Owner,Ready_to_Move,3,1,12,Medium
31259,West Bengal,Kolkata,Locality_75,Apartment,2,3819,152.29,3987.693113380466,2020,Semi-furnished,4,15,5,3,10,High,Yes,No,"Gym, Garden, Playground",South,Builder,Ready_to_Move,3,3,16,Large
106237,Telangana,Hyderabad,Locality_275,Apartment,4,3243,325.52,10037.619488128275,2000,Semi-furnished,21,5,25,9,5,Medium,No,No,"Clubhouse, Garden, Playground",West,Builder,Under_Construction,2,3,16,Large
44084,Gujarat,Ahmedabad,Locality_281,Apartment,5,3158,161.44,5112.096263457885,2007,Semi-furnished,5,12,18,10,7,High,No,Yes,"Gym, Garden, Pool, Clubhouse",East,Owner,Ready_to_Move,3,4,20,Large
229549,Maharashtra,Pune,Locality_339,Independent House,5,3522,105.61,2998.580352072686,2014,Semi-furnished,19,16,11,9,4,Medium,Yes,Yes,"Pool, Clubhouse, Garden",South,Builder,Under_Construction,2,3,15,Large
64963,Bihar,Gaya,Locality_33,Independent House,4,3169,491.05,15495.42442410855,2002,Unfurnished,10,12,23,1,9,Medium,Yes,Yes,"Gym, Garden, Pool",East,Builder,Under_Construction,2,3,12,Large
7326,Chhattisgarh,Bilaspur,Locality_428,Villa,1,3419,44.31,1295.9929804036267,2018,Semi-furnished,8,23,7,7,10,High,No,Yes,"Playground, Clubhouse",West,Builder,Ready_to_Move,3,2,20,Large
237218,Bihar,Patna,Locality_474,Villa,4,3328,422.24,12687.5,1994,Furnished,11,29,31,2,3,Medium,Yes,Yes,"Playground, Pool",South,Owner,Ready_to_Move,2,2,7,Large
161741,Punjab,Ludhiana,Locality_464,Independent House,4,3081,218.68,7097.695553391756,2004,Unfurnished,3,8,21,9,6,Medium,Yes,No,Clubhouse,North,Broker,Ready_to_Move,2,1,17,Large
38570,Bihar,Patna,Locality_441,Villa,5,4573,216.31,4730.155259129674,1990,Unfurnished,18,5,35,9,3,Medium,No,Yes,Garden,North,Owner,Ready_to_Move,2,1,14,Large
146917,Chhattisgarh,Bilaspur,Locality_485,Independent House,3,564,124.39,22054.96453900709,2009,Unfurnished,10,19,16,9,6,Medium,No,Yes,"Clubhouse, Gym, Playground, Garden",West,Builder,Under_Construction,2,4,17,Small
18107,Maharashtra,Pune,Locality_237,Apartment,4,4837,348.99,7215.009303287162,2017,Furnished,13,25,8,9,3,High,No,No,Clubhouse,North,Owner,Ready_to_Move,3,1,15,Large
199182,Odisha,Cuttack,Locality_115,Villa,4,1771,290.06,16378.317334839074,2015,Unfurnished,28,3,10,8,5,Medium,No,No,"Clubhouse, Pool, Gym, Playground",South,Broker,Under_Construction,2,4,15,Large
69122,Assam,Silchar,Locality_30,Independent House,3,3956,339.02,8569.767441860466,2019,Unfurnished,29,10,6,8,1,Low,No,No,Clubhouse,West,Broker,Under_Construction,1,1,10,Large
65999,Gujarat,Ahmedabad,Locality_121,Apartment,3,4897,408.18,8335.307331018992,2008,Furnished,23,8,17,5,9,Low,Yes,No,Playground,South,Builder,Under_Construction,1,1,15,Large
126978,Assam,Guwahati,Locality_338,Apartment,4,1851,305.33,16495.40788762831,2005,Unfurnished,19,2,20,10,1,Low,No,Yes,"Garden, Playground, Pool, Clubhouse, Gym",West,Owner,Under_Construction,1,5,12,Large
225437,Rajasthan,Jaipur,Locality_201,Apartment,5,2814,361.69,12853.233830845773,2003,Unfurnished,29,24,22,10,1,Low,Yes,No,Clubhouse,West,Builder,Ready_to_Move,1,1,12,Large
58012,West Bengal,Kolkata,Locality_401,Apartment,4,1862,354.64,19046.186895810955,1995,Furnished,29,21,30,4,10,Low,No,No,"Garden, Clubhouse, Pool",West,Broker,Ready_to_Move,1,3,15,Large
206462,Karnataka,Mysore,Locality_368,Apartment,3,4497,214.21,4763.397820769402,2014,Unfurnished,12,20,11,10,5,High,No,No,"Garden, Playground, Pool, Gym",West,Broker,Ready_to_Move,3,4,18,Large
170257,Jharkhand,Jamshedpur,Locality_446,Independent House,4,1057,266.79,25240.302743614004,2015,Furnished,25,24,10,9,2,Medium,Yes,No,"Garden, Pool",South,Broker,Ready_to_Move,2,2,13,Medium
69496,Uttarakhand,Dehradun,Locality_59,Independent House,3,2417,357.44,14788.580885395118,2018,Furnished,12,6,7,1,3,High,Yes,No,"Playground, Pool, Gym",South,Broker,Ready_to_Move,3,3,7,Large
16562,Tamil Nadu,Coimbatore,Locality_389,Apartment,5,2503,414.33,16553.335996803835,1995,Furnished,11,20,30,1,2,Medium,No,No,"Garden, Playground, Clubhouse, Pool",South,Builder,Under_Construction,2,4,5,Large
211213,Odisha,Cuttack,Locality_34,Independent House,2,596,373.91,62736.57718120806,1998,Unfurnished,11,4,27,3,9,High,No,Yes,Playground,East,Broker,Under_Construction,3,1,15,Small
